[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.0; episode_steps=500 (kaggle=500, mismatch=False)
[resume] loaded params from ./ckpt_multi_action_v13_hold/ckpt_000399.pkl (step=399)
[symmetric] Frog Parade style: same params drive BOTH players, no frozen/strong/buffer opponents, zero_sum_value=True
upd    0  steps    2048  sps 40  opp symm  loss -0.003  pg -0.0037  v 0.005  ev +0.47  adv_std 0.100  tR +0.00  ent[s/d/p/e] 0.34/0.55/0.53/0.27  emits 0.48  spf 13.1  z0 0.70  garr 15.1  tG 21  e2 0.10  nF 2.8  pS 0.07  ptS 0.07  fLog 0.40  pdΔ -0.4328  pkR 5.33  clip 0.02  kl +0.001
upd    1  steps    4096  sps 78  opp symm  loss -0.006  pg -0.0059  v 0.007  ev +0.81  adv_std 0.118  tR +0.00  ent[s/d/p/e] 0.95/0.96/0.58/0.49  emits 0.78  spf 15.6  z0 0.62  garr 21.5  tG 63  e2 0.18  nF 8.8  pS 0.13  ptS 0.13  fLog 0.41  pdΔ -0.3701  pkR 7.19  clip 0.07  kl +0.001
upd    2  steps    6144  sps 114  opp symm  loss -0.008  pg -0.0060  v 0.005  ev +0.91  adv_std 0.099  tR +1.00  ent[s/d/p/e] 1.51/1.26/0.73/0.52  emits 0.81  spf 22.6  z0 0.64  garr 34.8  tG 177  e2 0.18  nF 10.9  pS 0.21  ptS 0.20  fLog 0.45  pdΔ -0.2944  pkR 5.85  clip 0.10  kl +0.009
upd    3  steps    8192  sps 149  opp symm  loss -0.006  pg -0.0036  v 0.004  ev +0.91  adv_std 0.091  tR +0.00  ent[s/d/p/e] 1.73/1.30/0.64/0.52  emits 0.85  spf 27.4  z0 0.64  garr 49.6  tG 321  e2 0.18  nF 11.4  pS 0.26  ptS 0.26  fLog 0.48  pdΔ -0.2404  pkR 4.52  clip 0.13  kl +0.032
upd    4  steps   10240  sps 183  opp symm  loss -0.005  pg -0.0018  v 0.004  ev +0.91  adv_std 0.089  tR +0.00  ent[s/d/p/e] 1.80/1.35/0.68/0.55  emits 0.86  spf 32.4  z0 0.62  garr 64.2  tG 485  e2 0.20  nF 11.5  pS 0.31  ptS 0.31  fLog 0.49  pdΔ -0.1943  pkR 4.11  clip 0.14  kl +0.024
upd    5  steps   12288  sps 215  opp symm  loss -0.009  pg -0.0057  v 0.003  ev +0.94  adv_std 0.085  tR +1.00  ent[s/d/p/e] 1.90/1.43/0.65/0.57  emits 0.95  spf 36.1  z0 0.61  garr 76.5  tG 625  e2 0.21  nF 11.6  pS 0.34  ptS 0.34  fLog 0.50  pdΔ -0.1552  pkR 4.72  clip 0.14  kl +0.017
upd    6  steps   14336  sps 246  opp symm  loss -0.007  pg -0.0038  v 0.004  ev +0.94  adv_std 0.085  tR +0.00  ent[s/d/p/e] 2.01/1.50/0.66/0.56  emits 0.91  spf 45.2  z0 0.61  garr 80.4  tG 691  e2 0.21  nF 11.6  pS 0.36  ptS 0.36  fLog 0.54  pdΔ -0.1403  pkR 3.84  clip 0.13  kl +0.019
upd    7  steps   16384  sps 276  opp symm  loss -0.004  pg -0.0008  v 0.004  ev +0.94  adv_std 0.088  tR +0.00  ent[s/d/p/e] 2.09/1.48/0.67/0.55  emits 0.88  spf 44.7  z0 0.61  garr 87.5  tG 784  e2 0.18  nF 11.2  pS 0.40  ptS 0.39  fLog 0.54  pdΔ -0.1047  pkR 3.62  clip 0.14  kl +0.023
upd    8  steps   18432  sps 305  opp symm  loss -0.007  pg -0.0033  v 0.004  ev +0.93  adv_std 0.090  tR +1.00  ent[s/d/p/e] 2.01/1.45/0.66/0.56  emits 0.87  spf 43.2  z0 0.61  garr 88.5  tG 809  e2 0.20  nF 10.6  pS 0.39  ptS 0.39  fLog 0.54  pdΔ -0.1110  pkR 3.60  clip 0.15  kl +0.022
upd    9  steps   20480  sps 332  opp symm  loss -0.007  pg -0.0030  v 0.004  ev +0.95  adv_std 0.086  tR -1.00  ent[s/d/p/e] 2.04/1.46/0.67/0.56  emits 0.96  spf 44.1  z0 0.60  garr 91.4  tG 867  e2 0.21  nF 11.1  pS 0.41  ptS 0.41  fLog 0.54  pdΔ -0.0914  pkR 3.81  clip 0.14  kl +0.028
upd   10  steps   22528  sps 359  opp symm  loss -0.005  pg -0.0022  v 0.004  ev +0.95  adv_std 0.097  tR +1.00  ent[s/d/p/e] 2.12/1.55/0.72/0.57  emits 1.01  spf 47.9  z0 0.57  garr 94.7  tG 900  e2 0.22  nF 11.9  pS 0.42  ptS 0.42  fLog 0.55  pdΔ -0.0771  pkR 4.61  clip 0.15  kl +0.025
upd   11  steps   24576  sps 385  opp symm  loss -0.002  pg +0.0014  v 0.004  ev +0.95  adv_std 0.094  tR +1.00  ent[s/d/p/e] 2.10/1.51/0.71/0.58  emits 0.97  spf 48.2  z0 0.58  garr 91.9  tG 867  e2 0.21  nF 11.7  pS 0.42  ptS 0.42  fLog 0.55  pdΔ -0.0753  pkR 3.87  clip 0.15  kl +0.025
upd   12  steps   26624  sps 410  opp symm  loss -0.002  pg +0.0012  v 0.004  ev +0.95  adv_std 0.093  tR +1.00  ent[s/d/p/e] 2.13/1.49/0.68/0.57  emits 0.96  spf 49.2  z0 0.59  garr 95.7  tG 964  e2 0.21  nF 11.9  pS 0.43  ptS 0.43  fLog 0.55  pdΔ -0.0678  pkR 5.03  clip 0.15  kl +0.021
upd   13  steps   28672  sps 434  opp symm  loss -0.008  pg -0.0047  v 0.005  ev +0.94  adv_std 0.100  tR +0.00  ent[s/d/p/e] 2.09/1.51/0.70/0.58  emits 0.97  spf 51.6  z0 0.56  garr 95.0  tG 937  e2 0.23  nF 11.4  pS 0.42  ptS 0.42  fLog 0.55  pdΔ -0.0752  pkR 5.40  clip 0.15  kl +0.025
upd   14  steps   30720  sps 457  opp symm  loss -0.006  pg -0.0019  v 0.003  ev +0.95  adv_std 0.080  tR -1.00  ent[s/d/p/e] 2.07/1.49/0.69/0.57  emits 1.06  spf 43.3  z0 0.56  garr 85.3  tG 861  e2 0.24  nF 12.5  pS 0.42  ptS 0.42  fLog 0.53  pdΔ -0.0783  pkR 3.83  clip 0.14  kl +0.016
upd   15  steps   32768  sps 480  opp symm  loss +0.016  pg -0.0060  v 0.053  ev +0.63  adv_std 0.352  tR +0.11  ent[s/d/p/e] 1.82/1.38/0.61/0.47  emits 0.78  spf 41.8  z0 0.63  garr 62.5  tG 583  e2 0.17  nF 9.8  pS 0.31  ptS 0.31  fLog 0.52  pdΔ -0.1941  pkR 5.81  clip 0.11  kl +0.009
upd   16  steps   34816  sps 501  opp symm  loss -0.005  pg -0.0045  v 0.005  ev +0.80  adv_std 0.104  tR +1.00  ent[s/d/p/e] 1.04/0.92/0.56/0.41  emits 0.75  spf 24.5  z0 0.63  garr 34.4  tG 228  e2 0.17  nF 7.1  pS 0.18  ptS 0.18  fLog 0.44  pdΔ -0.3200  pkR 12.18  clip 0.11  kl +0.014
upd   17  steps   36864  sps 522  opp symm  loss -0.003  pg -0.0018  v 0.007  ev +0.87  adv_std 0.116  tR +0.00  ent[s/d/p/e] 1.32/1.11/0.59/0.53  emits 0.86  spf 27.6  z0 0.61  garr 47.0  tG 331  e2 0.19  nF 10.3  pS 0.24  ptS 0.23  fLog 0.46  pdΔ -0.2618  pkR 9.78  clip 0.14  kl +0.021
upd   18  steps   38912  sps 543  opp symm  loss -0.002  pg -0.0013  v 0.008  ev +0.90  adv_std 0.129  tR -1.00  ent[s/d/p/e] 1.70/1.31/0.65/0.56  emits 1.13  spf 28.0  z0 0.53  garr 52.6  tG 417  e2 0.25  nF 14.1  pS 0.30  ptS 0.29  fLog 0.47  pdΔ -0.1984  pkR 9.04  clip 0.17  kl +0.037
upd   19  steps   40960  sps 562  opp symm  loss -0.003  pg -0.0015  v 0.006  ev +0.92  adv_std 0.114  tR +1.00  ent[s/d/p/e] 1.83/1.35/0.63/0.55  emits 1.15  spf 26.4  z0 0.56  garr 56.8  tG 501  e2 0.25  nF 16.9  pS 0.35  ptS 0.34  fLog 0.46  pdΔ -0.1509  pkR 10.77  clip 0.16  kl +0.027
upd   20  steps   43008  sps 582  opp symm  loss -0.000  pg +0.0016  v 0.006  ev +0.92  adv_std 0.116  tR +1.00  ent[s/d/p/e] 1.94/1.42/0.62/0.56  emits 1.33  spf 29.3  z0 0.52  garr 60.8  tG 550  e2 0.28  nF 17.4  pS 0.37  ptS 0.37  fLog 0.48  pdΔ -0.1254  pkR 12.57  clip 0.18  kl +0.028
