[reward] kaggle-aligned: terminal +1 win/+1 tie>0/-1 loss/-1 double-wipeout; is_terminal at step >= episode_steps-2; SHAPING_SCALE=0.0; v1: KEEP_HOME=0.0 FLEET_SIZE=0.0/norm20.0; v2 (expert-replay calibrated): PROD_SHARE=0.0 PLANET_SHARE=0.0 FLEET_LOG=0.0/ref500.0/floor0.3; v3 (top10-2630ep calibrated): PROD_SHARE_DELTA=0.0 EMIT_LOG=0.0 EMIT_GATED=0.0 RELEASE=0.0/K20.0 CAPTURE=0.02; ANTI_HOARD=0.02/thresh0.55; episode_steps=500 (kaggle=500, mismatch=False); wins_needed=2 (multi-match=BO3)
[gated-pool] seed_paths=./ckpt_multi_action_v16a_capture/ckpt_003199.pkl snapshot_current=False
[shape-adapter] padded tensors:
  encoder/planet_proj/kernel: (39, 256) -> (63, 256)
  encoder/global_proj/kernel: (27, 256) -> (427, 256)
  emit_head/fc1/kernel: (527, 64) -> (532, 64)
  pct_head/fc1/kernel: (775, 128) -> (776, 128)
[gated-pool] shape-adapted seed opponent ./ckpt_multi_action_v16a_capture/ckpt_003199.pkl
upd    0  steps    2048  sps 44  opp rand  loss -0.072  pg -0.0724  v 0.010  ev +0.12  adv_std 0.140  tR +0.00  ent[s/d/p/e] 0.12/2.92/0.15/0.68  emits 0.48  spf 7.5  z0 0.56  garr 7.2  tG 10  e2 0.04  nF 4.3  pS 0.05  ptS 0.06  fLog 0.30  pdΔ -0.4459  pkR 11.56  clip 0.09  kl +0.003
upd    1  steps    4096  sps 87  opp rand  loss -0.053  pg -0.0525  v 0.007  ev +0.61  adv_std 0.124  tR +0.00  ent[s/d/p/e] 0.49/2.91/0.28/0.66  emits 0.70  spf 9.3  z0 0.48  garr 8.6  tG 24  e2 0.13  nF 11.0  pS 0.09  ptS 0.09  fLog 0.31  pdΔ -0.4087  pkR 17.55  clip 0.24  kl +0.008
upd    2  steps    6144  sps 97  opp frzn  loss -0.067  pg -0.0660  v 0.008  ev +0.69  adv_std 0.126  tR +0.00  ent[s/d/p/e] 0.83/2.91/0.34/0.66  emits 0.79  spf 13.3  z0 0.48  garr 13.1  tG 54  e2 0.16  nF 14.9  pS 0.14  ptS 0.14  fLog 0.34  pdΔ -0.3642  pkR 10.37  clip 0.15  kl +0.007 align[spf 13.3 e2 0.16 z0 0.48 n=1]
upd    3  steps    8192  sps 129  opp frzn  loss -0.080  pg -0.0812  v 0.011  ev +0.63  adv_std 0.156  tR +0.20  ent[s/d/p/e] 0.96/2.91/0.34/0.64  emits 0.90  spf 13.3  z0 0.47  garr 13.9  tG 74  e2 0.22  nF 15.7  pS 0.16  ptS 0.16  fLog 0.34  pdΔ -0.3410  pkR 13.25  clip 0.16  kl +0.005 align[spf 13.3 e2 0.19 z0 0.47 n=2]
upd    4  steps   10240  sps 160  opp rand  loss -0.098  pg -0.0956  v 0.006  ev +0.80  adv_std 0.110  tR -1.00  ent[s/d/p/e] 1.06/2.91/0.37/0.64  emits 0.96  spf 15.4  z0 0.43  garr 15.0  tG 96  e2 0.23  nF 16.9  pS 0.17  ptS 0.17  fLog 0.35  pdΔ -0.3296  pkR 11.96  clip 0.04  kl +0.000 align[spf 13.3 e2 0.19 z0 0.47 n=2]
upd    5  steps   12288  sps 191  opp rand  loss -0.100  pg -0.0972  v 0.004  ev +0.80  adv_std 0.095  tR -1.00  ent[s/d/p/e] 1.17/2.91/0.36/0.62  emits 1.08  spf 13.8  z0 0.42  garr 13.4  tG 99  e2 0.26  nF 18.7  pS 0.19  ptS 0.19  fLog 0.34  pdΔ -0.3079  pkR 10.79  clip 0.15  kl +0.003 align[spf 13.3 e2 0.19 z0 0.47 n=2]
upd    6  steps   14336  sps 221  opp frzn  loss -0.166  pg -0.1638  v 0.005  ev +0.83  adv_std 0.104  tR -1.00  ent[s/d/p/e] 1.21/2.91/0.41/0.62  emits 0.96  spf 14.7  z0 0.47  garr 15.1  tG 125  e2 0.23  nF 19.2  pS 0.19  ptS 0.19  fLog 0.35  pdΔ -0.3078  pkR 11.77  clip 0.08  kl +0.006 align[spf 13.7 e2 0.20 z0 0.47 n=3]
upd    7  steps   16384  sps 252  opp frzn  loss -0.106  pg -0.1058  v 0.009  ev +0.79  adv_std 0.123  tR -0.50  ent[s/d/p/e] 1.17/2.92/0.38/0.57  emits 1.04  spf 15.5  z0 0.46  garr 15.1  tG 125  e2 0.25  nF 19.1  pS 0.18  ptS 0.18  fLog 0.35  pdΔ -0.3229  pkR 15.81  clip 0.23  kl +0.010 align[spf 14.2 e2 0.22 z0 0.47 n=4]
upd    8  steps   18432  sps 281  opp frzn  loss -0.093  pg -0.0907  v 0.004  ev +0.88  adv_std 0.090  tR -1.00  ent[s/d/p/e] 1.09/2.92/0.37/0.59  emits 1.00  spf 13.6  z0 0.47  garr 13.9  tG 102  e2 0.24  nF 19.9  pS 0.17  ptS 0.17  fLog 0.33  pdΔ -0.3320  pkR 21.38  clip 0.17  kl +0.008 align[spf 14.0 e2 0.22 z0 0.47 n=5]
upd    9  steps   20480  sps 310  opp frzn  loss -0.033  pg -0.0316  v 0.006  ev +0.83  adv_std 0.103  tR -0.60  ent[s/d/p/e] 1.05/2.92/0.39/0.59  emits 1.03  spf 13.3  z0 0.43  garr 12.4  tG 94  e2 0.22  nF 20.4  pS 0.16  ptS 0.16  fLog 0.33  pdΔ -0.3395  pkR 32.61  clip 0.22  kl +0.009 align[spf 13.9 e2 0.22 z0 0.46 n=6]
upd   10  steps   22528  sps 340  opp rand  loss -0.113  pg -0.1110  v 0.005  ev +0.89  adv_std 0.086  tR -1.00  ent[s/d/p/e] 0.95/2.92/0.30/0.61  emits 0.84  spf 12.3  z0 0.48  garr 10.6  tG 74  e2 0.20  nF 19.0  pS 0.14  ptS 0.15  fLog 0.32  pdΔ -0.3567  pkR 13.90  clip 0.27  kl +0.009 align[spf 13.9 e2 0.22 z0 0.46 n=6]
upd   11  steps   24576  sps 369  opp rand  loss -0.069  pg -0.0667  v 0.004  ev +0.90  adv_std 0.084  tR -0.71  ent[s/d/p/e] 0.98/2.92/0.31/0.61  emits 0.82  spf 12.8  z0 0.49  garr 14.1  tG 118  e2 0.19  nF 17.9  pS 0.16  ptS 0.17  fLog 0.33  pdΔ -0.3358  pkR 16.71  clip 0.21  kl +0.009 align[spf 13.9 e2 0.22 z0 0.46 n=6]
upd   12  steps   26624  sps 397  opp rand  loss -0.077  pg -0.0751  v 0.004  ev +0.87  adv_std 0.097  tR +0.00  ent[s/d/p/e] 1.07/2.91/0.32/0.60  emits 0.95  spf 15.7  z0 0.44  garr 17.8  tG 175  e2 0.23  nF 18.4  pS 0.19  ptS 0.19  fLog 0.34  pdΔ -0.3083  pkR 16.31  clip 0.24  kl +0.006 align[spf 13.9 e2 0.22 z0 0.46 n=6]
upd   13  steps   28672  sps 425  opp frzn  loss -0.004  pg -0.0015  v 0.004  ev +0.86  adv_std 0.083  tR -0.60  ent[s/d/p/e] 1.09/2.91/0.36/0.53  emits 1.28  spf 14.9  z0 0.36  garr 20.2  tG 213  e2 0.31  nF 22.8  pS 0.21  ptS 0.21  fLog 0.33  pdΔ -0.2898  pkR 19.75  clip 0.39  kl +0.022 align[spf 14.1 e2 0.23 z0 0.45 n=7]
upd   14  steps   30720  sps 453  opp rand  loss -0.037  pg -0.0344  v 0.004  ev +0.88  adv_std 0.082  tR +1.00  ent[s/d/p/e] 1.17/2.90/0.37/0.57  emits 1.12  spf 16.8  z0 0.41  garr 16.4  tG 138  e2 0.27  nF 24.1  pS 0.20  ptS 0.19  fLog 0.35  pdΔ -0.3048  pkR 15.14  clip 0.16  kl +0.007 align[spf 14.1 e2 0.23 z0 0.45 n=7]
